# Goxel 0.14.0
# One line per voxel
# X Y Z RRGGBB
-16 -16 0 6ba06b
-15 -16 0 6ba06b
-14 -16 0 6ba06b
-13 -16 0 6ba06b
-12 -16 0 6ba06b
-11 -16 0 6ba06b
-10 -16 0 6ba06b
-9 -16 0 6ba06b
-8 -16 0 6ba06b
-7 -16 0 6ba06b
-6 -16 0 6ba06b
-5 -16 0 6ba06b
-4 -16 0 6ba06b
-3 -16 0 6ba06b
-2 -16 0 6ba06b
-1 -16 0 6ba06b
-16 -15 0 6ba06b
-15 -15 0 6ba06b
-14 -15 0 6ba06b
-13 -15 0 6ba06b
-12 -15 0 6ba06b
-11 -15 0 6ba06b
-10 -15 0 6ba06b
-9 -15 0 6ba06b
-8 -15 0 6ba06b
-7 -15 0 6ba06b
-6 -15 0 6ba06b
-5 -15 0 6ba06b
-4 -15 0 6ba06b
-3 -15 0 6ba06b
-2 -15 0 6ba06b
-1 -15 0 6ba06b
-16 -14 0 6ba06b
-15 -14 0 6ba06b
-14 -14 0 6ba06b
-13 -14 0 6ba06b
-12 -14 0 6ba06b
-11 -14 0 6ba06b
-10 -14 0 6ba06b
-9 -14 0 6ba06b
-8 -14 0 6ba06b
-7 -14 0 6ba06b
-6 -14 0 6ba06b
-5 -14 0 6ba06b
-4 -14 0 6ba06b
-3 -14 0 6ba06b
-2 -14 0 6ba06b
-1 -14 0 6ba06b
-16 -13 0 6ba06b
-15 -13 0 6ba06b
-14 -13 0 6ba06b
-13 -13 0 6ba06b
-12 -13 0 6ba06b
-11 -13 0 6ba06b
-10 -13 0 6ba06b
-9 -13 0 6ba06b
-8 -13 0 6ba06b
-7 -13 0 6ba06b
-6 -13 0 6ba06b
-5 -13 0 6ba06b
-4 -13 0 6ba06b
-3 -13 0 6ba06b
-2 -13 0 6ba06b
-1 -13 0 6ba06b
-16 -12 0 6ba06b
-15 -12 0 6ba06b
-14 -12 0 6ba06b
-13 -12 0 6ba06b
-12 -12 0 6ba06b
-11 -12 0 6ba06b
-10 -12 0 6ba06b
-9 -12 0 6ba06b
-8 -12 0 6ba06b
-7 -12 0 6ba06b
-6 -12 0 6ba06b
-5 -12 0 6ba06b
-4 -12 0 6ba06b
-3 -12 0 6ba06b
-2 -12 0 6ba06b
-1 -12 0 6ba06b
-16 -11 0 6ba06b
-15 -11 0 6ba06b
-14 -11 0 6ba06b
-13 -11 0 6ba06b
-12 -11 0 6ba06b
-11 -11 0 6ba06b
-10 -11 0 6ba06b
-9 -11 0 6ba06b
-8 -11 0 6ba06b
